"occurrence_no","name","diet","type","length_m","max_ma","min_ma","region","lng","lat","class","family"
487920,"Chirostenotes","omnivorous","small theropod",1.7,70.6,66,"Montana",-107.099998,47.549999,"Saurischia","Caenagnathidae"
487934,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-107.099998,47.549999,"Saurischia","Dromaeosauridae"
487954,"Chirostenotes","omnivorous","small theropod",1.7,70.6,66,"Montana",-107.099998,47.5667,"Saurischia","Caenagnathidae"
487977,"Chirostenotes","omnivorous","small theropod",1.7,70.6,66,"Montana",-107.099998,47.5667,"Saurischia","Caenagnathidae"
487978,"Paronychodon","carnivorous","large theropod",5,70.6,66,"Montana",-107.099998,47.5667,"Saurischia","Troodontidae"
488015,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.400002,47.516701,"Saurischia","Dromaeosauridae"
488042,"Chirostenotes","omnivorous","small theropod",1.7,70.6,66,"Montana",-106.416702,47.516701,"Saurischia","Caenagnathidae"
488047,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.416702,47.516701,"Saurischia","Dromaeosauridae"
488088,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.400002,47.516701,"Saurischia","Dromaeosauridae"
488090,"Pectinodon",null,null,null,70.6,66,"Montana",-106.400002,47.516701,"Saurischia","Troodontidae"
488099,"Troodon","carnivorous","small theropod",2,70.6,66,"Montana",-106.650002,47.650002,"Saurischia","Troodontidae"
488100,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.650002,47.650002,"Saurischia","Dromaeosauridae"
488132,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-107.25,47.549999,"Saurischia","Dromaeosauridae"
488134,"Chirostenotes","omnivorous","small theropod",1.7,70.6,66,"Montana",-107.25,47.549999,"Saurischia","Caenagnathidae"
488173,"Troodon","carnivorous","small theropod",2,70.6,66,"Wyoming",-104.494713,43.128948,"Saurischia","Troodontidae"
488175,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Wyoming",-104.494713,43.128948,"Saurischia","Dromaeosauridae"
488178,"Paronychodon","carnivorous","large theropod",5,70.6,66,"Wyoming",-104.494713,43.128948,"Saurischia","Troodontidae"
488193,"Dryptosaurus","carnivorous","large theropod",6.4,70.6,66,"Wyoming",-104.494713,43.128948,"Saurischia",null
488226,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-107.183327,47.516701,"Saurischia","Dromaeosauridae"
488227,"Troodon","carnivorous","small theropod",2,70.6,66,"Montana",-107.183327,47.516701,"Saurischia","Troodontidae"
488228,"Paronychodon","carnivorous","large theropod",5,70.6,66,"Montana",-107.183327,47.516701,"Saurischia","Troodontidae"
488244,"Chirostenotes","omnivorous","small theropod",1.7,70.6,66,"Montana",-106.916702,47.533298,"Saurischia","Caenagnathidae"
488248,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.916702,47.533298,"Saurischia","Dromaeosauridae"
